date,tp,1,2,3,4,5
2019/12/1,nph,4887.878061,12375.88158,0,0,0
2020/1/1,nph,2803.507072,10399.17827,0,0,0
2020/2/1,nph,4935.180107,34893.11057,0,0,0
2020/3/1,nph,25506.85793,103132.3465,0,0,0
2020/4/1,nph,40451.40464,103132.3465,0,0,0
2020/5/1,nph,38485.01692,61277.80255,0,0,0
2020/6/1,nph,78836.74292,130578.8581,0,0,0
2020/7/1,nph,16180.56186,57496.28318,0,0,0
2020/8/1,nph,14495.08666,33947.73073,0,0,0
2020/9/1,nph,13266.32088,42167.82232,0,0,0
2020/10/1,nph,12079.23889,23118.83434,0,0,0
2020/11/1,nph,1424.498389,10396.4059,0,0,0
2020/12/1,nph,6966.6308,15297.96473,0,0,0
