,1-5_a,10-12_a,11-12_a,4-9_a,6-11_a,6-9-2_a,6-9_a,8-10_a,9-11_a,9-10_a,5-6_a,1-5_b,10-12_b,11-12_b,4-9_b,6-11_b,6-9-2_b,6-9_b,8-10_b,9-11_b,9-10_b,5-6_b,sea_a,sea_b
6783,5030000,204000000,132000000,22230000,117100000,46100000,31014300,8424000,135500000,0,41367000,0,0,0,0,0,0,0,0,0,16450000,0,375540000,0
6784,7580000,257000000,164000000,32140000,163000000,53300000,43337600,12485000,168800000,0,56796000,0,0,0,0,0,0,0,0,0,21070000,0,456610000,0
6785,8800000,300000000,86000000,34430000,161900000,48900000,43613900,14224000,155800000,0,55672000,0,0,0,0,0,0,0,0,0,17970000,0,410860000,0
6786,7830000,178000000,101000000,26450000,123200000,33500000,32386200,13274000,116400000,0,39334000,0,0,0,0,0,0,0,0,0,13050000,0,290740000,0
6787,4080000,64000000,32000000,8060000,42000000,5100000,9719000,9634000,50700000,0,12984000,0,0,0,0,0,0,0,0,0,7730000,0,87870000,0
6788,0,0,0,0,0,0,0,0,0,930000,0,3430000,117000000,63000000,17070000,69000000,33500000,21411800,1078000,59600000,0,21243000,0,209250000
6789,0,0,0,0,0,0,0,0,0,13890000,0,6940000,289000000,129000000,27890000,152300000,54900000,37619900,11923000,162300000,0,48658000,0,460030000
6790,0,0,0,0,0,0,0,0,0,12700000,0,7430000,351000000,128000000,32370000,181000000,59700000,44136950,15046000,182800000,0,59634000,0,523980000
6791,0,0,0,0,0,0,0,0,0,8820000,0,7150000,325000000,115000000,31220000,164900000,53300000,41871050,15529000,166700000,0,55833000,0,478880000
6792,0,0,0,0,0,0,0,0,0,4780000,0,6440000,251000000,98000000,27580000,130300000,43200000,35424200,14495000,135800000,0,46367000,0,373530000
6793,0,0,0,0,0,0,0,0,0,0,0,5020000,158000000,33000000,20180000,73700000,25700000,23706100,11471000,80000000,1050000,29856000,0,192970000
6794,0,0,41000000,0,0,1200000,0,0,0,0,0,1750000,28000000,0,6510000,1400000,0,5097000,5207000,600000,7680000,3607000,31400000,0
6795,3350000,139000000,114000000,12460000,79800000,33400000,18605800,5120000,98600000,0,26677000,0,0,0,0,0,0,0,0,0,13940000,0,291880000,0
6796,6500000,267000000,159000000,27880000,152300000,54300000,38914300,10973000,168500000,0,53825000,0,0,0,0,0,0,0,0,0,20640000,0,471920000,0
6797,8750000,291000000,177000000,36030000,181700000,56800000,48234190,13963000,187300000,0,64546000,0,0,0,0,0,0,0,0,0,24710000,0,513620000,0
6798,9650000,330000000,123000000,39190000,185800000,57200000,50276610,15849000,184300000,0,65003000,0,0,0,0,0,0,0,0,0,23170000,0,486790000,0
6799,9510000,247000000,126000000,34980000,160300000,46700000,43019300,15829000,153600000,0,52660000,0,0,0,0,0,0,0,0,0,18010000,0,392570000,0
6800,7180000,142000000,86000000,21750000,99300000,25600000,26390800,13815000,104000000,0,31140000,0,0,0,0,0,0,0,0,0,13710000,0,228460000,0
6801,300000,0,0,0,0,0,0,6976000,8600000,0,0,0,27000000,10000000,5660000,18600000,15200000,7128000,0,0,7840000,3681000,0,55940000
6802,0,0,0,0,0,0,0,0,0,7100000,0,6340000,225000000,102000000,25710000,122300000,49000000,33221400,7931000,122000000,0,39245000,0,363910000
6803,0,0,0,0,0,0,0,0,0,13630000,0,7280000,324000000,130000000,31420000,171800000,59300000,42298100,14305000,177200000,0,56734000,0,492010000
6804,0,0,0,0,0,0,0,0,0,8360000,0,6990000,306000000,109000000,30080000,159000000,51900000,40025393,15034000,159600000,0,53777000,0,446760000
6805,0,0,0,0,0,0,0,0,0,3580000,0,5980000,231000000,83000000,24930000,122000000,38500000,32183007,13740000,122700000,0,41996000,0,334420000
6806,0,0,0,0,0,0,0,0,0,0,0,4200000,124000000,39000000,16530000,65400000,19700000,19515000,10642000,67100000,1950000,24264000,0,164240000
6807,0,0,29000000,0,6900000,7600000,381300,0,7900000,0,2061000,70000,2000000,0,1140000,0,0,0,4303000,0,7380000,0,41620000,0
6808,3740000,133000000,98000000,15780000,78300000,34300000,21696300,5434000,94200000,0,28275000,0,0,0,0,0,0,0,0,0,12490000,0,262130000,0
6809,6060000,215000000,145000000,26180000,133200000,47600000,35712160,10254000,145900000,0,46928000,0,0,0,0,0,0,0,0,0,17510000,0,393220000,0
6810,7600000,243000000,122000000,30620000,147400000,46000000,39728340,12514000,146900000,0,50925000,0,0,0,0,0,0,0,0,0,17220000,0,392140000,0
6811,7660000,238000000,58000000,27310000,127900000,36600000,33881700,12545000,121000000,0,42087000,0,0,0,0,0,0,0,0,0,13460000,0,311850000,0
6812,5410000,99000000,66000000,14740000,72600000,16600000,18080400,10315000,74000000,0,22294000,0,0,0,0,0,0,0,0,0,9270000,0,165500000,0
6813,0,0,0,0,0,0,0,3564000,0,0,0,420000,52000000,8000000,7530000,23800000,17200000,9217500,0,10600000,3230000,6756000,0,77630000
6814,0,0,0,0,0,0,0,0,0,9060000,0,5750000,217000000,95000000,22590000,112000000,44200000,29647700,8486000,120200000,0,35697000,0,346960000
6815,0,0,0,0,0,0,0,0,0,13090000,0,6870000,301000000,135000000,29140000,163300000,55800000,39742600,13285000,168700000,0,53327000,0,478390000
6816,0,0,0,0,0,0,0,0,0,9910000,0,6920000,332000000,104000000,30080000,162800000,53200000,40711300,14569000,165400000,0,54672000,0,475540000
6817,0,0,0,0,0,0,0,0,0,6650000,0,6470000,274000000,105000000,28150000,141200000,46300000,37006300,14357000,145200000,0,48811000,0,410700000
6818,0,0,0,0,0,0,0,0,0,1870000,0,5510000,194000000,66000000,23180000,98100000,33500000,28672500,12469000,104300000,0,37067000,0,272240000
6819,0,0,1000000,0,0,0,0,0,0,0,0,3410000,74000000,0,12790000,32200000,10700000,13339700,7953000,34600000,4910000,15494000,0,63820000
6820,1590000,71000000,78000000,4740000,44700000,19800000,8612800,1303000,56200000,0,13910000,0,0,0,0,0,0,0,0,0,10790000,0,179760000,0
6821,5150000,234000000,140000000,22030000,126000000,48300000,31386800,8989000,147800000,0,43674000,0,0,0,0,0,0,0,0,0,18350000,0,419730000,0
6822,8090000,288000000,182000000,33900000,177400000,57600000,46273300,13123000,186400000,0,62800000,0,0,0,0,0,0,0,0,0,23750000,0,518400000,0
