sta_num,from,zone,zone_new,date,year,mon,day_real,month,no,nh,cha
SS24,haiyang,4,5,2017/5/11,2017,5,11,5,0.239,0.033,
SS08,haiyang,2,2,2017/8/7,2017,8,7,8,0.279,0.042,
SS09,haiyang,2,2,2017/8/7,2017,8,7,8,0.3,0.053,
SS10,haiyang,2,2,2017/8/7,2017,8,7,8,0.206,0.04,
SS11,haiyang,2,1,2017/8/7,2017,8,7,8,0.16,0.052,
SS15,haiyang,1,1,2017/8/7,2017,8,7,8,0.118,0.069,
SS16,haiyang,1,1,2017/8/8,2017,8,8,8,0.186,0.051,
SS17,haiyang,1,1,2017/8/8,2017,8,8,8,0.172,0.054,
SS18,haiyang,4,4,2017/8/7,2017,8,7,8,0.148,0.066,
SS19,haiyang,4,4,2017/8/8,2017,8,8,8,0.148,0.053,
SS20,haiyang,3,3,2017/8/9,2017,8,9,8,0.135,0.051,
SS21,haiyang,3,0,2017/8/9,2017,8,9,8,0.112,0.048,
SS22,haiyang,3,3,2017/8/9,2017,8,9,8,0.154,0.046,
SS23,haiyang,4,5,2017/8/8,2017,8,8,8,0.145,0.039,
SS24,haiyang,4,5,2017/8/8,2017,8,8,8,0.158,0.03,
SS08,haiyang,2,2,2017/10/18,2017,10,18,11,0.449,0.038,
SS09,haiyang,2,2,2017/10/18,2017,10,18,11,0.409,0.035,
SS10,haiyang,2,2,2017/10/18,2017,10,18,11,0.345,0.033,
SS11,haiyang,2,1,2017/10/18,2017,10,18,11,0.433,0.036,
SS15,haiyang,1,1,2017/10/18,2017,10,18,11,0.325,0.034,
SS16,haiyang,1,1,2017/10/19,2017,10,19,11,0.375,0.037,
SS17,haiyang,1,1,2017/10/19,2017,10,19,11,0.358,0.034,
SS18,haiyang,4,4,2017/10/19,2017,10,19,11,0.377,0.036,
SS19,haiyang,4,4,2017/10/19,2017,10,19,11,0.314,0.031,
SS20,haiyang,3,3,2017/10/19,2017,10,19,11,0.393,0.037,
SS21,haiyang,3,0,2017/10/19,2017,10,19,11,0.334,0.029,
SS22,haiyang,3,3,2017/10/19,2017,10,19,11,0.397,0.032,
SS23,haiyang,4,5,2017/10/19,2017,10,19,11,0.337,0.034,
SS24,haiyang,4,5,2017/10/19,2017,10,19,11,0.311,0.037,
SS08,haiyang,2,2,2018/3/5,2018,3,5,2,0.593,0.061,
SS09,haiyang,2,2,2018/3/5,2018,3,5,2,0.549,0.055,
SS10,haiyang,2,2,2018/3/5,2018,3,5,2,0.546,0.05,
SS11,haiyang,2,1,2018/3/5,2018,3,5,2,0.667,0.05,
SS15,haiyang,1,1,2018/3/5,2018,3,5,2,0.522,0.057,
SS16,haiyang,1,1,2018/3/6,2018,3,6,2,0.367,0.051,
SS17,haiyang,1,1,2018/3/6,2018,3,6,2,0.392,0.041,
SS18,haiyang,4,4,2018/3/6,2018,3,6,2,0.362,0.05,
SS19,haiyang,4,4,2018/3/6,2018,3,6,2,0.31,0.037,
SS20,haiyang,3,3,2018/3/6,2018,3,6,2,0.379,0.039,
SS21,haiyang,3,0,2018/3/6,2018,3,6,2,0.356,0.032,
SS22,haiyang,3,3,2018/3/6,2018,3,6,2,0.357,0.037,
SS23,haiyang,4,5,2018/3/6,2018,3,6,2,0.418,0.031,
SS24,haiyang,4,5,2018/3/6,2018,3,6,2,0.377,0.033,
SS08,haiyang,2,2,2018/5/15,2018,5,15,5,0.257,0.075,
SS09,haiyang,2,2,2018/5/15,2018,5,15,5,0.305,0.073,
SS10,haiyang,2,2,2018/5/15,2018,5,15,5,0.219,0.073,
SS11,haiyang,2,1,2018/5/15,2018,5,15,5,0.265,0.076,
SS15,haiyang,1,1,2018/5/15,2018,5,15,5,0.22,0.073,
SS16,haiyang,1,1,2018/5/15,2018,5,15,5,0.236,0.063,
SS17,haiyang,1,1,2018/5/16,2018,5,16,5,0.223,0.05,
SS18,haiyang,4,4,2018/5/15,2018,5,15,5,0.213,0.051,
SS19,haiyang,4,4,2018/5/16,2018,5,16,5,0.22,0.04,
SS20,haiyang,3,3,2018/5/15,2018,5,15,5,0.213,0.044,
SS21,haiyang,3,0,2018/5/16,2018,5,16,5,0.204,0.055,
SS22,haiyang,3,3,2018/5/16,2018,5,16,5,0.232,0.069,
SS23,haiyang,4,5,2018/5/16,2018,5,16,5,0.206,0.039,
SS24,haiyang,4,5,2018/5/16,2018,5,16,5,0.203,0.034,
SS08,haiyang,2,2,2018/8/8,2018,8,8,8,0.368,0.04,
SS09,haiyang,2,2,2018/8/8,2018,8,8,8,0.353,0.048,
SS10,haiyang,2,2,2018/8/8,2018,8,8,8,0.217,0.041,
SS11,haiyang,2,1,2018/8/8,2018,8,8,8,0.228,0.05,
SS15,haiyang,1,1,2018/8/9,2018,8,9,8,0.226,0.05,
SS16,haiyang,1,1,2018/8/9,2018,8,9,8,0.202,0.046,
SS17,haiyang,1,1,2018/8/9,2018,8,9,8,0.207,0.047,
